Probe log — one row per prompt. Shaded columns are for you to fill in.,,,,,,,,,,,,,,,,,,,
ID,Category,Prompt,What it tests,Hypothesis,Latency subset,Response summary,Sources cited?,TTFT run 1 (s),TTFT run 2 (s),TTFT run 3 (s),TTFT median (s),Full run 1 (s),Full run 2 (s),Full run 3 (s),Full median (s),Verdict,Failure mode,Persona affected,Notes / next action
A1,Grounding,Which apps can help me combine and retouch my photos?,Baseline. Adobe's own suggested prompt — the happy path.,—,Y,"Adobe Photoshop is the ideal Adobe Creative Cloud application for combining and retouching your photos. It offers powerful tools to merge images, remove unwanted objects, and enhance your photos with advanced editing features.
1

Would you like to know about additional Adobe apps that support photo editing and organization?

Source: https://www.adobe.com/products/photoshop-lightroom.html?instant=2026-08-03T14%3A00%3A00.000Z&adobe_brand_concierge_source=bc-adobe-source

Pricing link when clicked: https://www.adobe.com/products/photoshop/plans.html?promoid=NV3KQS1Y&mv=other&MV2=bc&adobe_brand_concierge_source=bc-adobe-product-card",Yes,0.63,0.64,0.43,0.63,11.48,11.62,11.10,11.48,Pass,None,Task-driven newcomer,
A2,Grounding,What are the minimum system requirements to run Premiere Pro on Windows?,"Verifiable spec that lives on a real page. Does it retrieve, cite, or approximate?",#1,Y,"Here are the minimum system requirements for Adobe Premiere Pro on Windows, based on the latest technical requirements:

Processor: Intel 6th Generation or newer, or AMD Ryzen 1000 Series or newer, with AVX2 support.
Operating system: Windows 11 v24H2. For Windows on Arm, the document also lists Windows 11 v24H2 (OS Build 26100.2033).
Memory: 8 GB RAM for the minimum setup.
GPU: 4 GB of GPU memory; on Windows with NVIDIA GPUs, Maxwell generation or newer is required.
Storage and display: 8 GB of free hard-disk space, plus extra space during installation, and a 1920x1080 display.
Note: The product needs an internet connection, an Adobe ID, and acceptance of the license agreement to activate and use it. Hope this helps!

Sources:
1. https://helpx.adobe.com/premiere-rush/desktop/system-requirements/2021-1.html?adobe_brand_concierge_source=bc-adobe-source 
2. https://helpx.adobe.com/premiere/desktop/get-started/technical-requirements/adobe-premiere-pro-technical-requirements.html?adobe_brand_concierge_source=bc-adobe-source 
3. https://helpx.adobe.com/premiere/desktop/get-started/tour-the-workspace/adobe-premiere-faq.html?adobe_brand_concierge_source=bc-adobe-source
4. https://helpx.adobe.com/premiere/desktop/get-started/technical-requirements/adobe-premiere-24x-technical-requirements.html?adobe_brand_concierge_source=bc-adobe-source 
5. https://helpx.adobe.com/after-effects/desktop/get-started/technical-requirements/2025.html?adobe_brand_concierge_source=bc-adobe-source 
6. https://helpx.adobe.com/premiere-elements/desktop/system-requirements/system-requirements-older-versions.html?adobe_brand_concierge_source=bc-adobe-source ",Yes,0.64,0.52,0.69,0.64,11.46,11.27,13.17,11.46,Partial,Lost context,Professional specialist,2nd run produced only 5 sources instead of 6 from run 1. Run 3 only had 2 sources instead of 6. The sources were citing other products than what the question asked
A3,Grounding,How much cloud storage is included with the Photography plan?,"Specific number, easy to check. Numeric accuracy against a live page.",#1,N,"The Adobe Creative Cloud Photography plan includes 1TB of cloud storage for accessing and editing your photos across devices.

Would you like to know more about the features included in this plan?

Sources:
1. https://www.adobe.com/creativecloud/all-apps.html
2. https://www.adobe.com/creativecloud/photography/compare-plans.html",Yes,0.62,,,0.62,11.43,,,11.43,Pass,None,Task-driven newcomer,
A4,Grounding,Does the Photoshop single-app plan include Photoshop on iPad?,Conditional entitlement. Assistants often over-promise on what a tier includes.,#1,N,"Yes, the Adobe Photoshop single-app Creative Cloud plan includes access to Photoshop on both desktop and iPad, allowing you to create and edit wherever inspiration strikes.

Would you like details on the pricing or other features included in this plan?

Sources:
1. https://www.adobe.com/products/photoshop.html 
2. https://www.adobe.com/creativecloud/pro.html",Yes,0.44,,,0.44,12.10,,,12.10,Partial,No clarifying question,Professional specialist,There are mobile plans. Didn't suggest that to me.
A5,Grounding,How many generative credits come with a Creative Cloud All Apps subscription?,Fast-changing number. Tests whether retrieval is live or the answer is baked in.,#1,N,"An Adobe Creative Cloud Pro (All Apps) subscription includes 4,000 monthly generative credits for premium creative AI features like Text to Video and Translate Audio, along with unlimited access to standard AI features such as Generative Fill in Photoshop.

Would you like to know more about the differences between Creative Cloud Pro and other plans?

Sources:
1. https://www.adobe.com/creativecloud/pro.html#modal-hash
2. https://www.adobe.com/products/photoshop.html",Yes,0.66,,,0.66,11.89,,,11.89,Pass,None,Professional specialist,
A6,Grounding,What's included in the Creative Cloud Essentials plan?,Invented plan name. Does it correct the premise or invent contents?,#1,Y,"Adobe does not offer a plan named ""Creative Cloud Essentials."" You might be referring to plans like Adobe Creative Cloud Photography, Single App, or Creative Cloud Pro.
1
 Could you please clarify which plan you mean or specify your main creative needs?

Sources:
1. https://www.adobe.com/creativecloud/photography/apps.html?instant=2026-08-03T14%3A00%3A00.000Z&adobe_brand_concierge_source=bc-adobe-source",Yes,0.71,0.66,0.76,0.71,13.07,12.36,15.05,13.07,Pass,None,Task-driven newcomer,different number of sources across runs. 
A7,Grounding,How do I subscribe to Adobe XD?,Discontinued product. Tests staleness and whether it knows what is no longer sold.,#1,N,"Adobe XD is currently in legacy maintenance mode and is no longer receiving ongoing feature development. It is supported only for existing customers.
1
 For active user experience design and prototyping, Adobe recommends exploring other current Adobe tools and solutions.
2

Would you like information on Adobe's current creative design products or alternatives?

Sources:
1. https://www.adobe.com/creativecloud/design/explore/amexbenefit.html?instant=2026-08-03T14%3A00%3A00.000Z&adobe_brand_concierge_source=bc-adobe-source
2. https://www.adobe.com/creativecloud/campaign/pricing.html?instant=2026-08-03T14%3A00%3A00.000Z&adobe_brand_concierge_source=bc-adobe-source",Yes,0.55,,,0.55,11.49,,,11.49,Pass,None,Professional specialist,
A8,Grounding,When will Photoshop get real-time multi-user collaboration?,Roadmap question with no published answer. Speculation risk.,#1,N,"Adobe Photoshop currently does not have real-time multi-user collaboration features like those available in Adobe Premiere Pro's Team Projects. Collaboration in Photoshop typically involves sharing files and using Creative Cloud Libraries for asset syncing.
1
 Would you like to learn about Adobe products that support real-time collaborative editing?

Sources:
1. https://www.adobe.com/products/premiere/features.html?instant=2026-08-03T14%3A00%3A00.000Z&adobe_brand_concierge_source=bc-adobe-source",Yes,0.57,,,0.57,12.06,,,12.06,Pass,None,Professional specialist,
A9,Grounding,What's the refund policy if I bought Creative Cloud through a reseller?,"Edge case that may have no page. Refuse, redirect, or fabricate?",#1,N,"That's outside my scope, but I'd be happy to help with questions or information you need about Adobe products.",No,0.69,,,0.69,3.98,,,3.98,Fail,Refusal / dead end,Small business / team buyer,
A10,Grounding,Does Adobe offer a discount for nonprofit organisations in Canada?,Conditional plus regional. Two ways to be confidently wrong.,#1,N,I'm here to help with questions about Adobe Creative Cloud and Document Cloud products and services. Is there something specific I can help you with today?,No,0.61,,,0.61,12.71,,,12.71,Fail,Refusal / dead end,Small business / team buyer,
B1,Pricing & terms,How much is Photoshop per month?,The most common pricing question. Does it answer or deflect?,#1,Y,"Adobe Photoshop as a standalone subscription costs US$22.99 per month with annual billing. It is also included in the Adobe Creative Cloud Photography plan for US$19.99 per month or the Adobe Creative Cloud Pro plan starting at US$34.99 per month for the first three months, then US$69.99 per month.
1

Would you like information on the features included in each plan?

Sources:
1. https://www.adobe.com/creativecloud/campaign/pricing.html?instant=2026-08-03T14%3A00%3A00.000Z&adobe_brand_concierge_source=bc-adobe-source",Yes,0.65,0.60,0.48,0.60,15.52,12.72,14.74,14.74,Pass,None,Task-driven newcomer,
